player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
AJ Finch,3290,2277,0,434,144.49,5334
SL Malinga,329,2075,124,14,15.86,49758
M Klinger,150,116,0,14,129.31,6161
KMDN Kulasekara,300,1443,73,19,20.79,49535
JRMVB Sanjaya,37,201,10,3,18.41,422092
S Prasanna,258,486,12,26,53.09,268740
PADLR Sandakan,61,524,24,2,11.64,429738
TM Head,1149,738,1,167,155.69,530011
DAS Gunaratne,240,335,5,25,71.64,360456
MC Henriques,380,434,7,32,87.56,5961
AJ Turner,123,216,4,6,56.94,500268
JP Faulkner,205,666,36,12,30.78,270484
N Dickwella,513,374,0,70,137.17,429754
PJ Cummins,265,1457,72,18,18.19,489889
WU Tharanga,446,348,0,54,128.16,50747
B Stanlake,51,456,29,1,11.18,533042
EMDY Munaweera,235,236,2,32,99.58,304735
AJ Tye,146,797,52,9,18.32,459508
A Zampa,151,2107,114,7,7.17,379504
TAM Siriwardana,307,358,9,28,85.75,222354
CK Kapugedera,737,598,0,81,123.24,209457
BR Dunk,103,70,0,14,147.14,388678
TD Paine,84,78,0,10,107.69,7252
JA Richardson,81,466,20,4,17.38,774223
BKG Mendis,1924,1447,0,236,132.96,629074
MD Shanaka,1609,1799,33,179,89.44,437316
Nizakat Khan,2076,1833,12,224,113.26,350629
J Little,282,1755,83,14,16.07,928067
Aizaz Khan,1152,2447,98,93,47.08,401540
CA Young,166,1397,79,7,11.88,364343
KJ O'Brien,2023,2247,56,232,90.03,24605
Babar Hayat,1830,1385,0,217,132.13,539304
AR McBrine,179,516,21,16,34.69,417381
J Mulder,12,187,13,0,6.42,1005369
Anshuman Rath,1164,1221,6,123,95.33,452472
Ehsan Khan,443,1944,122,27,22.79,40082
Tanwir Afzal,204,561,19,19,36.36,260036
Shahid Wasif,340,315,0,33,107.94,919489
WTS Porterfield,1030,896,0,121,114.96,24611
DA Rankin,15,17,0,2,88.24,232724
Nadeem Ahmed,58,535,27,2,10.84,24230
SP Terry,4,6,0,0,66.67,467420
JNK Shannon,116,93,0,17,124.73,303437
GJ Thompson,122,110,0,15,110.91,24616
Ehsan Nawaz,19,73,5,2,26.03,718553
Tanveer Ahmed,17,95,4,1,17.89,919549
L Tucker,1392,1088,0,155,127.94,928057
CJ Chibhabha,647,848,17,81,76.3,55354
JD Unadkat,20,223,15,0,8.97,390484
H Masakadza,1573,1385,2,186,113.57,55608
R Dhawan,3,28,1,0,10.71,290727
JJ Bumrah,118,1577,96,1,7.48,625383
R Mutumbami,399,334,0,43,119.46,235516
Sikandar Raza,2426,3157,77,281,76.85,299572
AR Patel,578,1563,68,60,36.98,554691
MN Waller,644,488,0,70,131.97,55872
YS Chahal,89,1833,100,0,4.86,430246
CT Mutombodzi,152,307,9,11,49.51,333001
E Chigumbura,902,816,14,106,110.54,55343
AG Cremer,96,670,36,2,14.33,55346
N Madziva,129,387,15,9,33.33,453289
KL Rahul,2384,1689,0,293,141.15,422108
DT Tiripano,232,619,18,15,37.48,392945
AT Rayudu,45,51,0,5,88.24,33141
Mandeep Singh,149,129,0,16,115.5,398506
T Muzarabani,7,186,7,0,3.76,232444
MK Pandey,740,583,0,68,126.93,290630
KM Jadhav,127,102,0,15,124.51,290716
MS Dhoni,1717,1332,0,168,128.9,28081
BB Sran,10,53,6,0,18.87,537126
DS Kulkarni,10,52,3,0,19.23,277955
PJ Moor,380,296,0,46,128.38,333000
TL Chatara,160,1418,75,2,11.28,425639
V Sibanda,561,519,0,63,108.09,55787
T Maruma,98,91,0,9,107.69,235524
Tamim Iqbal,1811,1490,0,225,121.54,56194
BM Wheeler,56,170,7,5,32.94,440523
MJ Henry,63,435,25,3,14.48,506612
Imrul Kayes,133,141,0,17,94.33,280734
Sabbir Rahman,1068,931,6,121,114.72,373538
Shakib Al Hasan,2730,4784,153,305,57.07,56143
LH Ferguson,128,1007,67,2,12.71,493773
Soumya Sarkar,1537,1505,12,194,102.13,436677
Mahmudullah,2633,3052,43,259,86.27,56025
C de Grandhomme,557,719,15,57,77.47,55395
MJ Santner,894,2888,119,78,30.96,502714
Mosaddek Hossain,435,692,18,37,62.86,550133
Mashrafe Mortaza,377,1312,40,41,28.73,56007
Nurul Hasan,470,385,0,43,122.08,410765
Rubel Hossain,84,640,31,1,13.12,300619
NT Broom,79,68,0,9,116.18,36581
KS Williamson,2673,2249,6,305,118.85,277906
C Munro,1816,1253,4,240,144.93,232359
Mustafizur Rahman,308,2526,141,8,12.19,330902
CJ Anderson,758,1021,20,75,74.24,277662
