player_name,runs,balls,wickets,boundaries,strike_rate
AJ Finch,3290,2277,0,434,144.49
SL Malinga,329,2075,124,14,15.86
M Klinger,150,116,0,14,129.31
KMDN Kulasekara,300,1443,73,19,20.79
JRMVB Sanjaya,37,201,10,3,18.41
S Prasanna,258,486,12,26,53.09
PADLR Sandakan,61,524,24,2,11.64
TM Head,1149,738,1,167,155.69
DAS Gunaratne,240,335,5,25,71.64
MC Henriques,380,434,7,32,87.56
AJ Turner,123,216,4,6,56.94
JP Faulkner,205,666,36,12,30.78
N Dickwella,513,374,0,70,137.17
PJ Cummins,265,1457,72,18,18.19
WU Tharanga,446,348,0,54,128.16
B Stanlake,51,456,29,1,11.18
EMDY Munaweera,235,236,2,32,99.58
AJ Tye,146,797,52,9,18.32
A Zampa,151,2107,114,7,7.17
TAM Siriwardana,307,358,9,28,85.75
CK Kapugedera,737,598,0,81,123.24
BR Dunk,103,70,0,14,147.14
TD Paine,84,78,0,10,107.69
JA Richardson,81,466,20,4,17.38
BKG Mendis,1924,1447,0,236,132.96
MD Shanaka,1609,1799,33,179,89.44
Nizakat Khan,2076,1833,12,224,113.26
J Little,282,1755,83,14,16.07
Aizaz Khan,1152,2447,98,93,47.08
CA Young,166,1397,79,7,11.88
KJ O'Brien,2023,2247,56,232,90.03
Babar Hayat,1830,1385,0,217,132.13
AR McBrine,179,516,21,16,34.69
J Mulder,12,187,13,0,6.42
Anshuman Rath,1164,1221,6,123,95.33
Ehsan Khan,443,1944,122,27,22.79
Tanwir Afzal,204,561,19,19,36.36
Shahid Wasif,340,315,0,33,107.94
WTS Porterfield,1030,896,0,121,114.96
DA Rankin,15,17,0,2,88.24
Nadeem Ahmed,58,535,27,2,10.84
SP Terry,4,6,0,0,66.67
JNK Shannon,116,93,0,17,124.73
GJ Thompson,122,110,0,15,110.91
Ehsan Nawaz,19,73,5,2,26.03
Tanveer Ahmed,17,95,4,1,17.89
L Tucker,1392,1088,0,155,127.94
CJ Chibhabha,647,848,17,81,76.3
JD Unadkat,20,223,15,0,8.97
H Masakadza,1573,1385,2,186,113.57
R Dhawan,3,28,1,0,10.71
JJ Bumrah,118,1577,96,1,7.48
R Mutumbami,399,334,0,43,119.46
Sikandar Raza,2426,3157,77,281,76.85
AR Patel,578,1563,68,60,36.98
MN Waller,644,488,0,70,131.97
YS Chahal,89,1833,100,0,4.86
CT Mutombodzi,152,307,9,11,49.51
E Chigumbura,902,816,14,106,110.54
AG Cremer,96,670,36,2,14.33
N Madziva,129,387,15,9,33.33
KL Rahul,2384,1689,0,293,141.15
DT Tiripano,232,619,18,15,37.48
AT Rayudu,45,51,0,5,88.24
Mandeep Singh,149,129,0,16,115.5
T Muzarabani,7,186,7,0,3.76
MK Pandey,740,583,0,68,126.93
KM Jadhav,127,102,0,15,124.51
MS Dhoni,1717,1332,0,168,128.9
BB Sran,10,53,6,0,18.87
DS Kulkarni,10,52,3,0,19.23
PJ Moor,380,296,0,46,128.38
TL Chatara,160,1418,75,2,11.28
V Sibanda,561,519,0,63,108.09
T Maruma,98,91,0,9,107.69
Tamim Iqbal,1811,1490,0,225,121.54
BM Wheeler,56,170,7,5,32.94
MJ Henry,63,435,25,3,14.48
Imrul Kayes,133,141,0,17,94.33
Sabbir Rahman,1068,931,6,121,114.72
Shakib Al Hasan,2730,4784,153,305,57.07
LH Ferguson,128,1007,67,2,12.71
Soumya Sarkar,1537,1505,12,194,102.13
Mahmudullah,2633,3052,43,259,86.27
C de Grandhomme,557,719,15,57,77.47
MJ Santner,894,2888,119,78,30.96
Mosaddek Hossain,435,692,18,37,62.86
Mashrafe Mortaza,377,1312,40,41,28.73
Nurul Hasan,470,385,0,43,122.08
Rubel Hossain,84,640,31,1,13.12
NT Broom,79,68,0,9,116.18
KS Williamson,2673,2249,6,305,118.85
C Munro,1816,1253,4,240,144.93
Mustafizur Rahman,308,2526,141,8,12.19
CJ Anderson,758,1021,20,75,74.24
TC Bruce,295,233,0,31,126.61
L Ronchi,375,263,0,44,142.59
JDS Neesham,1058,1399,42,123,75.63
TA Boult,177,1507,84,5,11.75
IS Sodhi,341,2687,141,20,12.69
Taskin Ahmed,357,1721,80,23,20.74
HM Amla,1341,991,0,172,135.32
Q de Kock,2720,1932,0,367,140.79
F du Plessis,1585,1176,0,190,134.78
TG Southee,528,3128,177,38,16.88
AB de Villiers,1754,1277,0,200,137.35
JP Duminy,2063,2052,22,209,100.54
F Behardien,540,446,3,53,121.08
CH Morris,188,639,36,17,29.42
WD Parnell,260,1332,63,17,19.52
GD Phillips,1976,1490,8,226,132.62
D Paterson,18,188,10,1,9.57
AL Phehlukwayo,253,952,54,21,26.58
Imran Tahir,76,896,64,2,8.48
JT Smuts,198,310,1,24,63.87
DJ Willey,339,1089,53,28,31.13
RR Hendricks,2229,1710,0,291,130.35
MA Wood,70,745,55,1,9.4
DA Miller,2592,1823,0,281,142.18
CJ Jordan,615,2409,126,52,25.53
LA Dawson,61,241,7,10,25.31
MS Crane,0,48,1,0,0.0
JJ Roy,1611,1145,0,223,140.7
AD Hales,2184,1532,0,295,142.56
JM Bairstow,1763,1248,0,225,141.27
T Shamsi,96,1595,93,0,6.02
D Pretorius,303,693,35,37,43.72
TK Curran,94,662,32,5,14.2
M Mosehle,107,65,0,15,164.62
LE Plunkett,81,529,29,4,15.31
M Morkel,123,1025,54,4,12.0
SW Billings,507,377,0,57,134.48
LS Livingstone,934,1128,34,100,82.8
JC Buttler,3488,2344,0,452,148.81
EJG Morgan,2599,1863,0,307,139.51
DJ Malan,2014,1507,1,256,133.64
CH Gayle,2131,1873,20,287,113.77
E Lewis,1641,1077,0,233,152.37
JE Root,940,814,6,108,115.48
MN Samuels,1701,1908,27,214,89.15
AU Rashid,218,2673,130,8,8.16
CAK Walton,233,208,0,34,112.02
KA Pollard,1769,2126,43,193,83.21
R Powell,1704,1312,5,194,129.88
CR Brathwaite,410,1026,34,35,39.96
SP Narine,224,1272,56,18,17.61
AR Nurse,103,321,8,10,32.09
JE Taylor,201,732,37,16,27.46
KOK Williams,87,606,46,2,14.36
V Kohli,4376,3305,5,494,132.41
TS Mills,45,356,17,1,12.64
SK Raina,1731,1621,14,203,106.79
BA Stokes,674,1120,29,64,60.18
MM Ali,1342,1925,52,156,69.71
Yuvraj Singh,1262,1337,33,151,94.39
HH Pandya,1924,3014,91,214,63.84
Parvez Rasool,6,30,1,0,20.0
A Nehra,78,651,39,3,11.98
A Mishra,13,234,17,0,5.56
RR Pant,1294,996,0,155,129.92
SR Thompson,366,739,21,35,49.53
Amir Hamza,79,728,35,4,10.85
PR Stirling,3775,3240,19,544,116.51
Mohammad Nabi,2354,3817,105,254,61.67
Shapoor Zadran,99,728,38,3,13.6
Karim Janat,735,1430,43,72,51.4
Rashid Khan,646,2599,160,59,24.86
GC Wilson,1109,1047,0,106,105.92
Mohammad Shahzad,2274,1891,10,323,120.25
Najeeb Tarakai,281,217,0,34,129.49
GH Dockrell,1332,2457,84,126,54.21
Samiullah Shenwari,1052,1410,29,104,74.61
Asghar Stanikzai,1422,1242,1,150,114.49
Shafiqullah,440,302,0,54,145.7
BJ McCarthy,402,1522,63,34,26.41
Najibullah Zadran,1941,1390,0,224,139.64
Usman Ghani,768,693,0,85,110.82
J Charles,1382,1028,0,200,134.44
Mohammed Shami,26,497,27,0,5.23
B Kumar,216,1962,97,0,11.01
R Ashwin,296,1677,77,21,17.65
RA Jadeja,624,1813,59,53,34.42
AD Russell,1188,1919,64,152,61.91
STR Binny,38,61,2,3,62.3
DJ Bravo,1468,2705,93,128,54.27
LMP Simmons,1613,1343,6,208,120.1
RG Sharma,4453,3161,1,595,140.87
AM Rahane,404,347,0,38,116.43
S Badree,93,1231,61,2,7.55
ADS Fletcher,1053,918,0,120,114.71
MM Lanning,2687,2293,1,342,117.18
LMM Tahuhu,373,1687,78,26,22.11
BL Mooney,3127,2470,0,402,126.6
HR Huddleston,47,243,12,1,19.34
A Gardner,1513,2619,90,198,57.77
EJ Villani,1251,1020,0,164,122.65
EM Bermingham,49,285,17,2,17.19
SW Bates,3234,3346,29,359,96.65
AE Satterthwaite,1078,1238,13,117,87.08
LM Kasperek,106,1044,71,7,10.15
AJ Blackwell,552,600,0,35,92.0
ML Schutt,265,2343,155,2,11.31
RH Priest,375,375,0,54,100.0
JL Jonassen,359,2042,101,24,17.58
M Strano,6,166,10,0,3.61
KM Beams,20,329,19,0,6.08
AM Peterson,102,407,23,8,25.06
A Wellington,14,132,10,1,10.61
KJ Martin,866,721,0,108,120.11
KT Perkins,157,182,0,10,86.26
EC Perry,61,77,0,4,79.22
ML Green,1058,1015,1,98,104.24
AJ Healy,2856,2169,0,425,131.67
AC Kerr,1412,3063,101,133,46.1
GWHM Perera,781,901,0,81,86.68
HML Madushani,116,134,0,12,86.57
EA Perry,1922,3160,92,204,60.82
AC Jayangani,3166,3789,65,465,83.56
RM Farrell,31,642,40,0,4.83
MADD Surangika,380,422,0,34,90.05
PM Weerakkody,182,213,0,15,85.45
MGMCP Gunawardene,34,117,3,0,29.06
LE Kaushalya,526,733,12,48,71.76
KADA Kanchana,259,670,11,17,38.66
KDU Prabodhani,216,1743,74,3,12.39
EA Osborne,68,664,34,4,10.24
I Ranaweera,130,1595,88,4,8.15
BMSM Kumari,168,1656,61,7,10.14
Imad Wasim,638,2001,81,67,31.88
Sohail Tanvir,345,1436,61,25,24.03
Mohammad Nawaz (3),90,544,21,7,16.54
N Pooran,2378,1719,0,296,138.34
Hasan Ali,217,1140,68,18,19.04
Shoaib Malik,2544,2505,26,264,101.56
Wahab Riaz,233,880,41,17,26.48
Sharjeel Khan,436,316,0,68,137.97
Khalid Latif,256,230,0,31,111.3
Babar Azam,4309,3309,0,512,130.22
Sarfraz Ahmed,859,671,0,95,128.02
Umar Akmal,1777,1413,0,178,125.76
Mohammad Amir,190,1460,79,6,13.01
Rumman Raees,8,179,8,0,4.47
Iram Javed,419,536,1,46,78.17
SFM Devine,2867,3602,84,335,79.59
Asmavia Iqbal,389,1002,40,28,38.82
Sana Mir,652,2269,53,37,28.74
TMM Newton,37,85,4,1,43.53
Sadia Yousuf,34,709,40,0,4.8
Nida Dar,2014,4348,134,188,46.32
Aliya Riaz,1254,1641,21,119,76.42
Ayesha Zafar,217,245,0,24,88.57
MJG Nielsen,27,361,17,1,7.48
Javeria Khan,1289,1380,4,142,93.41
Bismah Maroof,2444,3124,30,193,78.23
Nain Abidi,525,654,0,32,80.28
Sidra Nawaz,181,230,0,14,78.7
M Raj,1379,1369,0,150,100.73
S Mandhana,3454,2736,0,512,126.24
Anam Amin,58,1149,55,0,5.05
S Meghana,225,213,0,33,105.63
V Krishnamurthy,525,474,0,54,110.76
H Kaur,2842,2959,31,327,96.05
J Goswami,204,782,28,12,26.09
E Bisht,20,358,23,0,5.59
AA Patil,295,1032,41,27,28.59
